 DATE-GMT,TIME-GMT,OBSPWR,FCSTPWR,ERR
20060101   ,100 ,      99.8,      88.3,     -11.5
20060101   ,200 ,     123.4,      20.4,    -103.0
20060101   ,300 ,     109.7,     344.6,     234.9
20060101   ,400 ,     123.0,     329.9,     206.9
20060101   ,500 ,      88.9,     292.4,     203.5
20060101   ,600 ,      45.8,     200.6,     154.8
20060101   ,700 ,      22.8,     158.9,     136.1
20060101   ,800 ,      26.6,      74.6,      47.9
20060101   ,900 ,       8.8,     104.5,      95.7
20060101   ,1000,       2.6,     136.0,     133.4
20060101   ,1100,      20.6,     324.1,     303.4
20060101   ,1200,      77.4,     315.2,     237.9
20060101   ,1300,      37.5,     333.3,     295.9
20060101   ,1400,      47.5,     359.5,     312.0
20060101   ,1500,     136.9,     270.7,     133.8
20060101   ,1600,     176.4,     294.3,     117.9
20060101   ,1700,     134.3,     285.2,     150.9
20060101   ,1800,      73.3,     309.7,     236.4
20060101   ,1900,      37.1,     288.5,     251.4
20060101   ,2000,      29.9,     228.9,     199.0
20060101   ,2100,      23.8,     269.1,     245.4
20060101   ,2200,      39.4,     214.0,     174.6
20060101   ,2300,      10.1,     252.3,     242.2
20060102   ,0   ,      33.9,     336.4,     302.6
20060102   ,100 ,      28.5,     308.1,     279.6
20060102   ,200 ,      40.9,     341.3,     300.4
20060102   ,300 ,      61.4,     325.5,     264.1
20060102   ,400 ,      62.1,     345.2,     283.1
20060102   ,500 ,      19.9,     241.4,     221.5
20060102   ,600 ,       4.1,     208.8,     204.7
20060102   ,700 ,      31.8,     160.5,     128.7
20060102   ,800 ,      84.4,     118.0,      33.6
20060102   ,900 ,     162.5,     203.2,      40.7
20060102   ,1000,     220.0,     176.2,     -43.8
20060102   ,1100,     181.9,     131.3,     -50.6
20060102   ,1200,     163.9,     230.0,      66.1
20060102   ,1300,     209.6,     261.9,      52.3
20060102   ,1400,     360.8,     301.8,     -59.0
20060102   ,1500,     410.6,     404.8,      -5.8
20060102   ,1600,     438.0,     434.8,      -3.2
20060102   ,1700,     442.6,     350.8,     -91.8
20060102   ,1800,     401.6,     372.0,     -29.6
20060102   ,1900,     498.3,     492.0,      -6.3
20060102   ,2000,     574.7,     479.2,     -95.5
20060102   ,2100,     693.5,     483.4,    -210.1
20060102   ,2200,     723.1,     452.2,    -270.9
20060102   ,2300,     684.7,     437.1,    -247.6
20060103   ,0   ,     623.9,     305.5,    -318.4
20060103   ,100 ,     558.5,     350.2,    -208.4
20060103   ,200 ,     623.1,     441.0,    -182.1
20060103   ,300 ,     625.3,     430.9,    -194.4
20060103   ,400 ,     421.1,     403.3,     -17.7
20060103   ,500 ,     446.0,     381.1,     -64.9
20060103   ,600 ,     467.7,     387.2,     -80.5
20060103   ,700 ,     437.9,     384.4,     -53.5
20060103   ,800 ,     534.3,     403.9,    -130.4
20060103   ,900 ,     558.7,     435.8,    -122.9
20060103   ,1000,     450.1,     479.0,      29.0
20060103   ,1100,     341.5,     414.6,      73.0
20060103   ,1200,     306.5,     379.5,      72.9
20060103   ,1300,     305.0,     360.9,      55.9
20060103   ,1400,     301.8,     248.2,     -53.5
20060103   ,1500,     335.9,     197.4,    -138.5
20060103   ,1600,     292.0,     230.4,     -61.5
20060103   ,1700,     124.7,     258.9,     134.2
20060103   ,1800,      33.9,     209.3,     175.4
20060103   ,1900,      14.0,     197.7,     183.7
20060103   ,2000,      12.1,     214.4,     202.3
20060103   ,2100,      10.9,     120.6,     109.7
20060103   ,2200,      21.0,     165.9,     144.9
20060103   ,2300,      64.0,     132.0,      68.0
20060104   ,0   ,      92.3,      24.4,     -67.9
20060104   ,100 ,     140.4,      82.3,     -58.1
20060104   ,200 ,     180.1,      79.2,    -101.0
20060104   ,300 ,     140.3,     114.3,     -26.0
20060104   ,400 ,      83.5,      57.0,     -26.5
20060104   ,500 ,      53.5,      18.8,     -34.7
20060104   ,600 ,      41.5,      19.7,     -21.8
20060104   ,700 ,      51.2,      40.2,     -11.0
20060104   ,800 ,      47.3,      88.5,      41.1
20060104   ,900 ,      62.4,     125.7,      63.3
20060104   ,1000,      72.8,     107.4,      34.7
20060104   ,1100,      93.1,     107.9,      14.8
20060104   ,1200,     118.2,      76.5,     -41.7
20060104   ,1300,      97.9,      52.3,     -45.6
20060104   ,1400,     127.5,     101.5,     -26.0
20060104   ,1500,     240.2,     141.9,     -98.2
20060104   ,1600,     316.3,     259.3,     -57.1
20060104   ,1700,     276.3,     259.5,     -16.8
20060104   ,1800,     226.7,     207.0,     -19.8
20060104   ,1900,     175.5,     238.0,      62.5
20060104   ,2000,      97.2,     142.7,      45.5
20060104   ,2100,      86.8,     120.5,      33.7
20060104   ,2200,     128.6,     117.6,     -11.0
20060104   ,2300,     230.7,      92.9,    -137.7
20060105   ,0   ,     233.7,      37.9,    -195.8
20060105   ,100 ,     136.4,      91.7,     -44.7
20060105   ,200 ,     142.9,      74.0,     -68.9
20060105   ,300 ,     158.2,     108.4,     -49.7
20060105   ,400 ,     190.2,      93.2,     -97.0
20060105   ,500 ,     198.0,     113.9,     -84.1
20060105   ,600 ,     149.2,      67.0,     -82.3
20060105   ,700 ,     125.3,      52.6,     -72.7
20060105   ,800 ,     108.4,      93.8,     -14.6
20060105   ,900 ,      97.5,     176.7,      79.2
20060105   ,1000,     138.1,     121.5,     -16.6
20060105   ,1100,     220.5,     156.8,     -63.8
20060105   ,1200,     448.6,     233.1,    -215.4
20060105   ,1300,     472.8,     176.5,    -296.3
20060105   ,1400,     612.0,     312.6,    -299.4
20060105   ,1500,     688.8,     409.4,    -279.4
20060105   ,1600,     616.3,     406.0,    -210.3
20060105   ,1700,     563.4,     426.7,    -136.7
20060105   ,1800,     512.5,     440.6,     -71.9
20060105   ,1900,     467.8,     376.6,     -91.2
20060105   ,2000,     419.2,     331.3,     -87.9
20060105   ,2100,     400.3,     355.9,     -44.4
20060105   ,2200,     351.9,     312.6,     -39.2
20060105   ,2300,     354.7,     345.2,      -9.5
20060106   ,0   ,     401.3,     247.0,    -154.3
20060106   ,100 ,     471.6,     252.0,    -219.6
20060106   ,200 ,     514.6,     304.2,    -210.4
20060106   ,300 ,     520.8,     267.9,    -252.9
20060106   ,400 ,     511.1,     316.2,    -194.9
20060106   ,500 ,     554.4,     401.3,    -153.1
20060106   ,600 ,     465.4,     328.1,    -137.3
20060106   ,700 ,     390.9,     314.1,     -76.8
20060106   ,800 ,     315.6,     327.6,      12.0
20060106   ,900 ,     276.4,     225.4,     -51.0
20060106   ,1000,     299.7,     305.9,       6.2
20060106   ,1100,     346.6,     292.1,     -54.5
20060106   ,1200,     334.8,     320.7,     -14.0
20060106   ,1300,     347.7,     285.1,     -62.5
20060106   ,1400,     318.8,     165.5,    -153.2
20060106   ,1500,     235.5,     177.0,     -58.5
20060106   ,1600,     231.3,     241.5,      10.3
20060106   ,1700,     205.0,     241.1,      36.1
20060106   ,1800,     141.6,     247.9,     106.4
20060106   ,1900,      92.9,     258.9,     166.0
20060106   ,2000,      49.8,     286.0,     236.2
20060106   ,2100,      53.0,     257.9,     204.9
20060106   ,2200,      67.8,     243.9,     176.1
20060106   ,2300,      61.9,     117.6,      55.7
20060107   ,0   ,      54.6,     113.2,      58.5
20060107   ,100 ,     109.3,     173.5,      64.2
20060107   ,200 ,     115.0,     180.9,      65.9
20060107   ,300 ,     154.5,     115.1,     -39.5
20060107   ,400 ,     203.5,     192.8,     -10.7
20060107   ,500 ,     229.2,     171.0,     -58.1
20060107   ,600 ,     228.9,     186.0,     -42.9
20060107   ,700 ,     274.7,     184.5,     -90.2
20060107   ,800 ,     347.4,     259.1,     -88.3
20060107   ,900 ,     393.4,     275.3,    -118.1
20060107   ,1000,     430.5,     236.3,    -194.2
20060107   ,1100,     392.6,     277.4,    -115.1
20060107   ,1200,     361.9,     277.8,     -84.0
20060107   ,1300,     376.9,     273.2,    -103.7
20060107   ,1400,     341.9,     298.7,     -43.3
20060107   ,1500,     330.7,     377.7,      47.0
20060107   ,1600,     385.9,     340.4,     -45.5
20060107   ,1700,     425.7,     335.1,     -90.6
20060107   ,1800,     300.6,     396.1,      95.5
